0.977584 -6.252532E-05 -0.2105457 3.34256, 0.003721531 0.9998488 0.01698251 -0.08747816, 0.2105128 -0.01738538 0.9774365 -0.137075, 0 0 0 1
0.9755398 -6.812387E-05 -0.2198227 3.48372, 0.003499142 0.999878 0.01521879 -0.0772522, 0.2197949 -0.01561573 0.9754211 -0.1569996, 0 0 0 1
0.9742112 0.001575893 -0.2256326 3.573146, 0.003045188 0.9997927 0.02013106 -0.1217274, 0.2256175 -0.02029899 0.9740044 -0.2078248, 0 0 0 1
0.972859 0.0005782032 -0.2313983 3.675627, 0.00459405 0.9997515 0.02181271 -0.1296131, 0.2313534 -0.02228374 0.9726145 -0.2228098, 0 0 0 1
0.9709863 -1.058625E-05 -0.2391351 3.780824, 0.005100835 0.9997734 0.02066722 -0.1127176, 0.2390807 -0.02128738 0.9707664 -0.2340636, 0 0 0 1
0.9682858 -0.0003326093 -0.2498451 4.005557, 0.006428498 0.9997012 0.02358307 -0.1307901, 0.2497626 -0.02444128 0.9679986 -0.1832545, 0 0 0 1
0.9686131 0.0005216513 -0.2485726 4.025248, 0.004952431 0.9997588 0.02139622 -0.1228181, 0.2485238 -0.0219557 0.9683769 -0.2035014, 0 0 0 1
0.967865 9.735168E-05 -0.2514703 4.151784, 0.005611776 0.9997425 0.02198577 -0.1244813, 0.2514077 -0.02269045 0.9676152 -0.1872642, 0 0 0 1
0.9681662 0.0005003124 -0.2503079 4.172716, 0.005329363 0.9997301 0.0226117 -0.1355745, 0.2502516 -0.02322586 0.9679022 -0.2103054, 0 0 0 1
0.965538 -0.000465073 -0.2602617 4.374596, 0.005624653 0.9998021 0.01908016 -0.1100015, 0.2602014 -0.0198865 0.9653496 -0.2058864, 0 0 0 1
0.962114 -0.001078513 -0.2726455 4.480791, 0.008127673 0.9996612 0.02472661 -0.135783, 0.2725265 -0.0260058 0.9617968 -0.1254467, 0 0 0 1
0.9603277 0.0001135752 -0.278874 4.626544, 0.006807676 0.9996924 0.02384998 -0.1383626, 0.2787909 -0.02480228 0.9600315 -0.1682179, 0 0 0 1
0.9603704 -0.0004943183 -0.2787265 4.784114, 0.009086621 0.9995224 0.0295359 -0.1611632, 0.2785788 -0.03089808 0.9599162 -0.2626732, 0 0 0 1
0.9604703 -0.0008419298 -0.2783813 4.802813, 0.00946967 0.9995155 0.02964932 -0.159519, 0.2782215 -0.03111347 0.9600129 -0.2632053, 0 0 0 1
0.9612154 0.00130156 -0.2757958 4.866694, 0.004932825 0.9997478 0.0219102 -0.1371945, 0.2757547 -0.02242087 0.9609665 -0.3731702, 0 0 0 1
